|Системный номер|Код подразделения|Наименование подразделения|Дата окончания|
 |8127|770-011|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ХАМОВНИКИ| |
 |8128|770-012|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЯКИМАНКА| |
 |8129|770-013|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ АЭРОПОРТ| |
 |8130|770-014|Отдел УФМС России по г. Москве по району Беговой| |
 |8131|770-014|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БЕГОВОЙ|31.10.2014|
 |8132|770-015|Отдел УФМС России по г. Москве по району Бескудниковский| |
 |8133|770-015|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БЕСКУДНИКОВСКИЙ|31.10.2014|
 |8134|770-016|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ВОЙКОВСКИЙ| |
 |8135|770-017|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ВОСТОЧНОЕ ДЕГУНИНО| |
 |8136|770-018|ОТДЕЛЕНИЕ ПО РАЙОНУ ГОЛОВИНСКИЙ ОУФМС РОССИИ ПО ГОР. МОСКВЕ В САО| |
 |8137|770-018|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ГОЛОВИНСКИЙ| |
 |8138|770-019|Отдел УФМС России по г. Москве по району Дмитровский| |
 |8139|770-019|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ДМИТРОВСКИЙ|31.10.2014|
 |8140|770-020|Отдел УФМС России по г. Москве по району Западное Дегунино| |
 |8141|770-020|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЗАПАДНОЕ ДЕГУНИНО|31.10.2014|
 |8142|770-021|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КОПТЕВО| |
 |8143|770-022|Отдел УФМС России по г. Москве по району Левобережный| |
 |8144|770-022|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЛЕВОБЕРЕЖНЫЙ|31.10.2014|
 |8145|770-023|Отдел УФМС России по г. Москве по району Молжаниновский| |
 |8146|770-023|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МОЛЖАНИНОВСКИЙ|31.10.2014|
 |8147|770-024|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ САВЕЛОВСКИЙ| |
 |8148|770-025|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СОКОЛ| |
 |8149|770-026|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ТИМИРЯЗЕВСКИЙ| |
 |8150|770-027|Отдел УФМС России по г. Москве по району Ховрино| |
 |8151|770-027|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ХОВРИНО|31.10.2014|
 |8152|770-028|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ХОРОШЕВСКИЙ| |
 |8153|770-029|ОТДЕЛЕНИЕ ПО РАЙОНУ БИРЮЛЕВО ВОСТОЧНОЕ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8154|770-029|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БИРЮЛЕВО ВОСТОЧНОЕ| |
 |8155|770-030|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БИРЮЛЕВО ЗАПАДНОЕ| |
 |8156|770-031|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БРАТЕЕВО| |
 |8157|770-032|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ДАНИЛОВСКИЙ| |
 |8158|770-033|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ДОНСКОЙ| |
 |8159|770-034|ОТДЕЛЕНИЕ ПО РАЙОНУ ЗЯБЛИКОВО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8160|770-034|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЗЯБЛИКОВО| |
 |8161|770-035|ОТДЕЛЕНИЕ ПО Р-НУ МОСКВОРЕЧЬЕ-САБУРОВО ОУФМС РОССИИ ПО Г. МОСКВЕ ЮАО|02.02.2011|
 |8162|770-035|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МОСКВОРЕЧЬЕ-САБУРОВО|05.06.2013|
 |8163|770-035|Отдел УФМС России по гор. Москве по району Москворечье-Сабурово| |
 |8164|770-036|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НАГАТИНСКИЙ ЗАТОН| |
 |8165|770-037|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НАГАТИНО-САДОВНИКИ| |
 |8166|770-038|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НАГОРНЫЙ| |
 |8167|770-039|ОТДЕЛЕНИЕ ПО Р-НУ ОРЕХОВО- БОРИСОВО СЕВЕРНОЕ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8168|770-039|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ОРЕХОВО-БОРИСОВО СЕВЕРНОЕ| |
 |8169|770-040|ОТДЕЛЕНИЕ ПО Р-НУ ОРЕХОВО- БОРИСОВО ЮЖНОЕ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8170|770-040|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ОРЕХОВО-БОРИСОВО ЮЖНОЕ| |
 |8171|770-041|ОТДЕЛЕНИЕ ПО РАЙОНУ ЧЕРТАНОВО ЮЖНОЕ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8172|770-041|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЧЕРТАНОВО ЮЖНОЕ| |
 |8173|770-042|ОТДЕЛЕНИЕ ПО РАЙОНУ ЦАРИЦЫНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8174|770-042|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЦАРИЦЫНО| |
 |8175|770-043|ОТДЕЛЕНИЕ ПО РАЙОНУ ЧЕРТАНОВО СЕВЕРНОЕ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8176|770-043|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЧЕРТАНОВО СЕВЕРНОЕ| |
 |8177|770-044|ОТДЕЛЕНИЕ ПО РАЙОНУ ЧЕРТАНОВО ЦЕНТРАЛЬНОЕ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮАО| |
 |8178|770-044|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЧЕРТАНОВО ЦЕНТРАЛЬНОЕ| |
 |8179|770-045|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БОГОРОДСКОЕ| |
 |8180|770-046|ОТДЕЛЕНИЕ ПО РАЙОНУ ВЕШНЯКИ ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ВАО| |
 |8181|770-046|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ВЕШНЯКИ| |
 |8182|770-047|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ВОСТОЧНОЕ ИЗМАЙЛОВО| |
 |8183|770-048|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ВОСТОЧНЫЙ| |
 |8184|770-049|ОТДЕЛЕНИЕ ПО РАЙОНУ ГОЛЬЯНОВО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ВАО| |
 |8185|770-049|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ГОЛЬЯНОВО| |
 |8186|770-050|ОТДЕЛЕНИЕ ПО РАЙОНУ ИВАНОВСКОЕ ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ВАО| |
 |8187|770-050|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ИВАНОВСКОЕ| |
 |8188|770-051|ОТДЕЛЕНИЕ ПО РАЙОНУ ИЗМАЙЛОВО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ВАО| |
 |8189|770-051|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ИЗМАЙЛОВО| |
 |8190|770-052|Отдел УФМС России по г. Москве по району Косино-Ухтомский| |
 |8191|770-052|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КОСИНО-УХТОМСКИЙ|31.10.2014|
 |8192|770-053|Отдел УФМС России по г. Москве по району Метрогородок| |
 |8193|770-053|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МЕТРОГОРОДОК|31.10.2014|
 |8194|770-054|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НОВОГИРЕЕВО| |
 |8195|770-055|ОТДЕЛЕНИЕ ПО РАЙОНУ НОВОКОСИНО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ВАО| |
 |8196|770-055|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НОВОКОСИНО| |
 |8197|770-056|ОТДЕЛЕНИЕ ПО РАЙОНУ ПЕРОВО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ВАО| |
 |8198|770-056|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ПЕРОВО| |
 |8199|770-057|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ПРЕОБРАЖЕНСКОЕ| |
 |8200|770-058|Отдел УФМС России по г. Москве по району Северное Измайлово| |
 |8201|770-058|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СЕВЕРНОЕ ИЗМАЙЛОВО|31.10.2014|
 |8202|770-059|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СОКОЛИНАЯ ГОРА| |
 |8203|770-060|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СОКОЛЬНИКИ| |
 |8204|770-061|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ВНУКОВО| |
 |8205|770-062|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ДОРОГОМИЛОВО| |
 |8206|770-063|Отдел УФМС России по г. Москве по району Крылатское| |
 |8207|770-063|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КРЫЛАТСКОЕ|31.10.2014|
 |8208|770-064|ОТДЕЛЕНИЕ ПО РАЙОНУ КУНЦЕВО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ЗАО| |
 |8209|770-064|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КУНЦЕВО| |
 |8210|770-065|ОТДЕЛЕНИЕ МГУ ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ЗАО| |
 |8211|770-066|ОТДЕЛЕНИЕМ ПО РАЙОНУ МОЖАЙСКИЙ ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ЗАО| |
 |8212|770-066|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МОЖАЙСКИЙ| |
 |8213|770-067|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НОВО-ПЕРЕДЕЛКИНО| |
 |8214|770-068|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ОЧАКОВО-МАТВЕЕВСКОЕ| |
 |8215|770-069|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ПРОСПЕКТ ВЕРНАДСКОГО| |
 |8216|770-070|ОТДЕЛЕНИЕ ПО РАЙОНУ РАМЕНКИ ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ЗАО| |
 |8217|770-070|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ РАМЕНКИ| |
 |8218|770-071|Отдел УФМС России по г. Москве по району Солнцево| |
 |8219|770-071|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СОЛНЦЕВО|31.10.2014|
 |8220|770-072|ОТДЕЛЕНИЕ ПО Р-НУ ТРОПАРЕВО-НИКУЛИНО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В ЗАО| |
 |8221|770-072|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ТРОПАРЕВО-НИКУЛИНО| |
 |8222|770-073|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ФИЛИ-ДАВЫДКОВО| |
 |8223|770-074|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ФИЛЕВСКИЙ ПАРК| |
 |8224|770-075|Отдел УФМС России по г. Москве по району Алексеевский| |
 |8225|770-075|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ АЛЕКСЕЕВСКИЙ|31.10.2014|
 |8226|770-076|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ АЛТУФЬЕВСКИЙ| |
 |8227|770-077|Отдел УФМС России по г. Москве по району Бабушкинский| |
 |8228|770-077|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БАБУШКИНСКИЙ|31.10.2014|
 |8229|770-078|ОТДЕЛЕНИЕ ПО РАЙОНУ БИБИРЕВО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В СВАО| |
 |8230|770-078|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БИБИРЕВО| |
 |8231|770-079|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ БУТЫРСКИЙ| |
 |8232|770-080|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЛИАНОЗОВО| |
 |8233|770-081|Отдел УФМС России по г. Москве по району Лосиноостровский| |
 |8234|770-081|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЛОСИНООСТРОВСКИЙ|31.10.2014|
 |8235|770-082|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МАРФИНО| |
 |8236|770-083|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МАРЬИНА РОЩА| |
 |8237|770-084|Отдел УФМС России по г. Москве по району Останкинский| |
 |8238|770-084|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ОСТАНКИНСКИЙ|31.10.2014|
 |8239|770-085|ОТДЕЛЕНИЕ ПО РАЙОНУ ОТРАДНОЕ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В СВАО| |
 |8240|770-085|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ОТРАДНОЕ| |
 |8241|770-086|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ РОСТОКИНО| |
 |8242|770-087|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СВИБЛОВО| |
 |8243|770-088|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СЕВЕРНЫЙ| |
 |8244|770-089|ОТДЕЛЕНИЕ ПО РАЙОН СЕВЕРНОЕ МЕДВЕДКОВО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В СВАО| |
 |8245|770-089|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СЕВЕРНОЕ МЕДВЕДКОВО| |
 |8246|770-090|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЮЖНОЕ МЕДВЕДКОВО| |
 |8247|770-091|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЯРОСЛАВСКИЙ| |
 |8248|770-092|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КУРКИНО| |
 |8249|770-093|ОТДЕЛЕНИЕ ПО РАЙОНУ МИТИНО ОУФМС РОССИИ ПО ГОР. МОСКВЕ В СЗАО| |
 |8250|770-093|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МИТИНО| |
 |8251|770-094|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ПОКРОВСКОЕ-СТРЕШНЕВО| |
 |8252|770-095|ОТДЕЛЕНИЕ ПО РАЙОНУ СЕВЕРНОЕ ТУШИНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В СЗАО| |
 |8253|770-095|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СЕВЕРНОЕ ТУШИНО| |
 |8254|770-096|ОТДЕЛЕНИЕ ПО РАЙОНУ СТРОГИНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В СЗАО| |
 |8255|770-096|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СТРОГИНО| |
 |8256|770-097|ОТДЕЛЕНИЕ ПО Р-НУ ХОРОШЕВО- МНЕВНИКИ ОУФМС РОССИИ ПО ГОР. МОСКВЕ| |
 |8257|770-097|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ХОРОШЕВО-МНЕВНИКИ| |
 |8258|770-098|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЩУКИНО| |
 |8259|770-099|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЮЖНОЕ ТУШИНО| |
 |8260|770-100|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ВЫХИНО-ЖУЛЕБИНО| |
 |8261|770-100|ОТДЕЛЕНИЕ ПО РАЙОНУ ВЫХИНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮВАО| |
 |8262|770-101|ОТДЕЛЕНИЕ ПО РАЙОНУ ЖУЛЕБИНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮВАО| |
 |8263|770-102|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КАПОТНЯ| |
 |8264|770-103|ОТДЕЛЕНИЕ ПО Р-НУ КУЗЬМИНКИ ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮВАО| |
 |8265|770-103|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КУЗЬМИНКИ| |
 |8266|770-104|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЛЕФОРТОВО| |
 |8267|770-105|ОТДЕЛЕНИЕ ПО РАЙОНУ ЛЮБЛИНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮВАО| |
 |8268|770-105|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЛЮБЛИНО| |
 |8269|770-106|ОТДЕЛЕНИЕ ПО РАЙОНУ МАРЬИНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮВАО| |
 |8270|770-106|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ МАРЬИНО| |
 |8271|770-107|О-НИЕ ПО Р-НУ МАРЬИНСКИЙ ПАРК ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮВАО| |
 |8272|770-108|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НЕКРАСОВКА| |
 |8273|770-109|Отдел УФМС России по г. Москве по району Нижегородский| |
 |8274|770-109|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ НИЖЕГОРОДСКИЙ|31.10.2014|
 |8275|770-110|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ПЕЧАТНИКИ| |
 |8276|770-111|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ РЯЗАНСКИЙ| |
 |8277|770-112|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ТЕКСТИЛЬЩИКИ| |
 |8278|770-113|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЮЖНОПОРТОВЫЙ|31.10.2014|
 |8279|770-114|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ АКАДЕМИЧЕСКИЙ| |
 |8280|770-115|Отдел УФМС России по г. Москве по району Гагаринский| |
 |8281|770-115|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ГАГАРИНСКИЙ|31.10.2014|
 |8282|770-116|ОТДЕЛЕНИЕ ПО РАЙОНУ ЗЮЗИНО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮЗАО| |
 |8283|770-116|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЗЮЗИНО| |
 |8284|770-117|ОТДЕЛЕНИЕ ПО РАЙОНУ КОНЬКОВО ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮЗАО| |
 |8285|770-117|ОТДЕЛ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КОНЬКОВО| |
 |8286|770-118|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ КОТЛОВКА| |
 |8287|770-119|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ЛОМОНОСОВСКИЙ| |
 |8288|770-120|Отдел УФМС России по г. Москве по району Обручевский| |
 |8289|770-120|Отдел УФМС России по г. Москве по району Обручевский| |
 |8290|770-120|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ ОБРУЧЕВСКИЙ|31.10.2014|
 |8291|770-121|ОТДЕЛЕНИЕ УФМС РОССИИ ПО ГОР. МОСКВЕ ПО РАЙОНУ СЕВЕРНОЕ БУТОВО| |
 |8292|770-122|ОТДЕЛЕНИЕ ПО РАЙОНУ ТЕПЛЫЙ СТАН ОУФМС РОССИИ ПО ГОР.МОСКВЕ В ЮЗАО| |
